ASV_ID	P16609_1001	P16609_1002	P16609_1003	P16609_1004	P16609_1005	P16609_1006	P16609_1007	P16609_1008	P16609_1009
147ccff6cdc7add7c5679b9929cafb1c	353	607	370	1686	1163	763	2330	11264	3977
0b58479f5429ce9f8a605e3e5d81faba	3038	3873	2920	1493	3520	1858	1292	1822	2875
887bc7033b46d960e893caceb711700b	2550	4888	4145	2574	5327	2639	2226	6884	4527
1b2c41577c16f4c672a2a861e6b89b14	1992	3289	3462	1816	3724	1909	1647	4925	3934
ae71bf7c99d3583a2d8841e5911c5716	1327	2446	2415	1213	2540	1505	706	2388	1809
49c216cd1b6d702dd0cff28855dc5813	0	0	0	0	0	0	0	8	9
53964bef6e413d0037100ef13b369504	447	505	603	295	697	319	112	397	315
88b5b5240649749ca876d10823045b01	927	1819	1471	998	1724	1131	1101	3256	2322
641dd3fba38499ee67aca9534db03ecc	1140	1635	1525	946	1876	1032	1015	2968	2497
d88992af0f395135f2749cf35e4cd28f	3363	7174	4695	525	4272	1251	166	127	466
b21788bf720789d321d8e824f2306e1d	113	157	97	75	184	107	71	46	193
8040cb82521d263a792b31311ba2f1ac	3057	3425	3120	1017	1778	1287	164	355	569
d5149eea84bcffa22b8a92873f74c427	868	1109	907	578	1317	557	228	873	827
4efca1c1efaae85b53628aad8ca4ca98	292	460	487	349	475	257	424	1803	1162
202c0b8c03fdc8660cd759726727754d	56	99	85	53	116	47	20	65	62
450ac381cbb4a6822befbcdb2ca20bae	155	153	174	69	95	97	0	21	23
cc87cf7731ae4eb54c4d6a8169d4598e	440	887	795	533	930	505	667	1703	1347
11fb58f63f6791374c2f452e7ba8842f	228	268	280	190	447	159	61	479	123
c1859ab94beea465fdbc5eea0e63847b	0	0	0	0	0	0	0	0	0
1f18cf29076957c15e3c64478934c53f	202	266	226	152	397	142	0	155	62
1ead98754d34073a4606f7ff1e94126e	988	1255	1111	820	1756	888	75	175	158
e4b58bc9103f05eef5d404d5fd85f542	30	37	17	0	41	16	69	146	145
7ff490fff9504446139943d9c4f1be4a	522	765	648	507	896	474	336	932	790
aaf363d33b413559f355276afbb79f37	196	275	201	105	189	134	24	102	43
cac37e39df2461953f24398212940edf	252	487	404	304	476	278	132	482	242
3b22807593c61a018ff301c10f04b9a2	969	1275	1023	590	1194	568	269	557	605
567285eb6cb39a7da269ed742662acb0	390	713	596	288	567	440	368	786	912
d3a2fb3b65e96a6017a70182466040d8	502	906	917	447	1030	582	120	469	272
6871d93ddc673c48245efc378cac2c7d	83	172	151	64	120	124	0	66	13
1548937acda05460eb1ff301442e418e	30	40	21	0	46	18	0	38	18
e2460ed8acc8c9e84a0394327b5077d8	0	0	0	0	0	0	0	0	0
